External ID,Name,Barcode,Sales Price,Đơn vị tính,pos_categ_id,Brand
10005245,Sữa chua không đường Vinamilk hộp 100g,8930010005245,25000,Hộp,Sữa Chua Ăn,Vinamilk
10005245,Sữa chua không đường Vinamilk hộp 100g,8934673605823,25000,Hộp,Sữa Chua Ăn,Vinamilk
10005247,Sữa chua nha đam Vinamilk hộp 100g,8930010005247,25000,Hộp,Sữa Chua Ăn,Vinamilk
10005247,Sữa chua nha đam Vinamilk hộp 100g,8934673601825,25000,Hộp,Sữa Chua Ăn,Vinamilk
10005252,Sữa chua cho trẻ em SuSu Vinamilk hộp 80g,8934673606813,25000,Hộp,Sữa Chua Ăn,Vinamilk
10005252,Sữa chua cho trẻ em SuSu Vinamilk hộp 80g,8934673606813,25000,Hộp,Sữa Chua Ăn,Vinamilk
10005253,Sữa chua uống men sống Probi Vinamilk lốc 5 chai x 65ml,8930010005253,25000,Chai,Sữa Chua Uống,Vinamilk
10005253,Sữa chua uống men sống Probi Vinamilk lốc 5 chai x 65ml,8934673400510,25000,Chai,Sữa Chua Uống,Vinamilk
10005255,Sữa chua Vinamilk có đường hộp 100g,8930010005255,25000,Hộp,Sữa Chua Ăn,Vinamilk
10005255,Sữa chua Vinamilk có đường hộp 100g,8934673606820,25000,Hộp,Sữa Chua Ăn,Vinamilk
10005280,Sữa chua Vinamilk ít đường hộp 100g,8930010005280,25000,Hộp,Sữa Chua Ăn,Vinamilk
10005280,Sữa chua Vinamilk ít đường hộp 100g,8934673613828,25000,Hộp,Sữa Chua Ăn,Vinamilk
10005282,Sữa chua từ 100% sữa tươi lên men tự nhiên Vinamilk có đường hộp 100g,8934673616829,25000,Hộp,Sữa Chua Ăn,Vinamilk
10005282,Sữa chua từ 100% sữa tươi lên men tự nhiên Vinamilk có đường hộp 100g,8934673616829,25000,Hộp,Sữa Chua Ăn,Vinamilk
10005357,Sữa tươi tiệt trùng ít đường Vinamilk lốc 4 x 180ml,10005357,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
10005357,Sữa tươi tiệt trùng ít đường Vinamilk lốc 4 x 180ml,1893467358134,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
10005357,Sữa tươi tiệt trùng ít đường Vinamilk lốc 4 x 180ml,18934673581346,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
10005357,Sữa tươi tiệt trùng ít đường Vinamilk lốc 4 x 180ml,8934673581349,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
10005357,Sữa tươi tiệt trùng ít đường Vinamilk lốc 4 x 180ml,8934673581349,25000,Hộp,Sữa Tươi Tiệt Trùng,Vinamilk
10005402,Sữa tiệt trùng Vinamilk không đường túi 220ml,10005402,25000,Gói,Sữa Tươi Tiệt Trùng,Vinamilk
10005402,Sữa tiệt trùng Vinamilk không đường túi 220ml,1893467353535,25000,Gói,Sữa Tươi Tiệt Trùng,Vinamilk
10005402,Sữa tiệt trùng Vinamilk không đường túi 220ml,8934673501354,25000,Gói,Sữa Tươi Tiệt Trùng,Vinamilk
10005402,Sữa tiệt trùng Vinamilk không đường túi 220ml,8934673501354,25000,Gói,Sữa Tươi Tiệt Trùng,Vinamilk
10005410,Sữa tiệt trùng sô cô la Vinamilk túi 220ml,10005410,25000,Gói,Sữa Tươi Tiệt Trùng,Vinamilk
